file,top_dir,bytes,sha256,parse_ok,schema_name,schema_version,has_graph,node_count,edge_count,evidence_count
backups/chunks_50/khawrizm_graph_chunk_0045.json,backups,260,905617015c325c038e4d1720d16e17508e99a1e94506c7e37333d1ff2e870a4f,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0046.json,backups,260,3797e720faede9d90e86a395b5a0c1bf9a68dbd2325549be54769d1f72cd89bd,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0047.json,backups,260,49dc51b99b6f9906174c022d6022e30d81b5bbb92563209774bbad7e3395824e,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0048.json,backups,260,0d775f6a4bf778d6e376d539149a8803cfe0f8fbb14746f56b3f8f731968f94a,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0049.json,backups,260,e0704b55cc30aabb5c93bd81dd42bdd286e712c4a64ca83d098bc4b5d10cf3c0,True,,1.0.0,True,0,0,0
backups/chunks_50/khawrizm_graph_chunk_0050.json,backups,260,29f466e6b97bfa7660a389459974f97b6efa82f192e0fa1adf5dd96f9bc76a72,True,,1.0.0,True,0,0,0
backups/it_50/khawrizm_graph_chunk_it_0001.json,backups,421,449b840e64a51e6aa2bc8d8f3dbc4b73096f69043972ef1ca93440d6f942171e,True,khawrizm_sovereign_graph,1.0.0,True,0,0,0
backups/it_50/khawrizm_graph_chunk_it_0002.json,backups,260,92fc6258c1867bf91993b9de43fdcef980af7d05511ce6bab94e52c24fc02cf2,True,,1.0.0,True,0,0,0
backups/it_50/khawrizm_graph_chunk_it_0003.json,backups,260,f931e77adeff3bc96ac50741c3cb82fd62f7f910754b38abfcb06dbf1d0c6870,True,,1.0.0,True,0,0,0
backups/it_50/khawrizm_graph_chunk_it_0004.json,backups,260,a325535548d76f6e081b5ae0433de0748ed5b9c95fbd9bcace1f21f3a4edbc7e,True,,1.0.0,True,0,0,0
backups/it_50/khawrizm_graph_chunk_it_0005.json,backups,260,f68f86a38afdf3cf81634ab018cf1433e84df87c8b96fa64de69b46e6a586642,True,,1.0.0,True,0,0,0
backups/it_50/khawrizm_graph_chunk_it_0006.json,backups,260,ea97e9077c3c1e4e2c2fbe7ce988cf0af0e705a74ea7c6c3de7515e13123ce38,True,,1.0.0,True,0,0,0
backups/it_50/khawrizm_graph_chunk_it_0007.json,backups,260,f4c61956de96df2a11d0dff5e71f231a9c4c1a132a2594019d3271c96efb2739,True,,1.0.0,True,0,0,0
backups/it_50/khawrizm_graph_chunk_it_0008.json,backups,260,06530a99625be2f6201b1d7721aa9da14fef25c88e46ee97c3e8c6defea64c81,True,,1.0.0,True,0,0,0
